bed_room,area,house_age,price
3,5650,69,221900
3,7242,73,538000
2,10000,91,180000
4,5000,59,604000
3,8080,37,510000
4,101930,23,1225000
3,6819,29,257500
3,9711,61,291850
3,7470,64,229500
3,6560,21,323000
3,9796,59,662500
2,6000,82,468000
3,19901,97,310000
3,9680,47,400000
5,4850,124,530000
4,5000,45,650000
3,14040,30,395000
4,4300,108,485000
2,9850,103,189000
3,9774,55,230000
4,4980,77,385000
3,44867,56,2000000
5,6300,29,285000
2,9643,39,252700
3,6500,39,329000
3,4697,83,233000
3,2691,109,937000
3,1581,115,667000
3,6380,76,438000
4,7173,19,719000
3,3980,21,580500
2,1265,19,280000
4,5000,95,687500
3,3000,95,535000
4,6659,43,322500
3,3060,94,696000
4,34848,91,550000
4,6000,120,640000
4,8075,55,240000
4,7553,28,605000
4,5520,24,625000
4,24186,40,775000
5,5639,10,861990
3,2280,102,685000
3,9656,65,309000
3,13603,21,488000
3,8528,58,210490
4,13416,43,785000
3,5963,71,450000
3,65005,71,1350000
3,9199,69,228000
5,9134,58,345000
3,4080,74,600000
2,8550,43,585000
5,6000,97,920000
4,5000,29,885000
4,4495,16,292500
3,4750,21,301000
5,14342,56,951000
4,9976,33,430000
3,21235,65,650000
3,8400,70,289000
3,8690,51,505000
3,1044,10,549000
3,6000,45,425000
3,3809,99,317625
4,11049,35,975000
4,4648,19,287000
3,12070,56,204000
5,20158,59,1325000
5,50094,51,1040000
3,5612,52,325000
4,7807,108,571000
4,5000,19,360000
3,50529,59,349000
4,35102,38,832500
4,7300,68,380000
3,5060,83,480000
3,5060,68,410000
4,39683,22,720000
3,5100,21,390000
4,5889,32,360000
2,6720,76,355000
3,8712,60,356000
3,6634,72,315000
3,3600,99,940000
5,8400,63,305000
3,6278,18,461000
2,2040,45,215000
2,1066,18,335000
4,7403,36,243500
5,6353,23,1099880
3,10500,62,153000
3,5000,85,430000
3,5000,85,700000
4,10250,78,905000
3,15681,57,247500
4,6400,49,199000
3,41800,44,314000
3,36847,32,437500
3,13241,114,850830
3,3478,95,555000
3,107593,41,699950
3,8113,74,1088000
3,33919,70,290000
3,10005,46,375000
3,4005,85,460000
2,2493,39,188500
4,28037,33,680000
5,12342,82,470000
